,date,习近平,李克强,栗战书,汪洋,王沪宁,赵乐际,韩正
113,2016-05-23,1176,388,44,12,42,7,5
114,2016-05-24,1180,399,44,12,42,7,5
115,2016-05-25,1183,406,44,12,42,7,5
116,2016-05-26,1222,422,44,12,42,7,5
117,2016-05-29,1225,422,44,12,42,7,5
118,2016-05-30,1251,431,44,14,42,7,5
119,2016-06-01,1268,431,44,14,42,7,5
120,2016-06-02,1274,441,44,14,42,7,5
121,2016-06-03,1293,446,44,14,42,7,5
122,2016-06-04,1295,448,44,14,42,7,5
123,2016-06-05,1300,448,44,14,42,7,5
124,2016-06-06,1309,450,44,16,42,7,5
125,2016-06-07,1328,456,44,18,42,8,5
126,2016-06-08,1331,462,44,18,42,8,5
127,2016-06-09,1332,462,44,18,42,8,5
128,2016-06-10,1333,462,44,18,42,8,5
129,2016-06-11,1334,462,44,18,42,8,5
130,2016-06-12,1340,466,44,18,42,9,5
131,2016-06-13,1352,482,44,18,42,9,5
132,2016-06-15,1364,484,44,18,42,9,5
133,2016-06-17,1377,493,45,18,43,9,5
134,2016-06-18,1409,493,50,18,48,9,5
135,2016-06-19,1421,493,52,18,50,9,5
136,2016-06-20,1464,497,56,18,54,9,5
137,2016-06-21,1495,505,58,18,56,9,5
138,2016-06-22,1519,507,60,21,58,9,5
139,2016-06-24,1555,514,61,22,59,9,5
140,2016-06-29,1570,518,61,22,59,9,5
141,2016-06-30,1582,520,61,22,59,9,5
142,2016-07-01,1605,526,61,22,59,9,5
143,2016-07-06,1613,543,61,24,59,9,5
144,2016-07-07,1631,556,61,24,59,9,5
145,2016-07-11,1632,559,61,24,59,9,5
146,2016-07-12,1639,568,61,25,59,9,5
147,2016-07-13,1640,581,61,25,59,9,5
148,2016-07-14,1643,609,61,25,59,9,5
149,2016-07-23,1657,609,61,25,59,9,5
150,2016-07-26,1674,611,62,26,60,9,5
151,2016-07-28,1704,611,63,26,61,9,5
152,2016-07-29,1723,614,64,26,61,10,5
153,2016-07-31,1724,614,64,26,61,10,5
154,2016-08-02,1728,614,64,26,61,10,5
155,2016-08-03,1730,614,64,26,61,10,5
156,2016-08-05,1730,614,64,26,61,10,5
157,2016-08-07,1731,614,64,26,61,10,5
158,2016-08-08,1732,615,64,26,61,10,5
159,2016-08-09,1733,615,64,26,61,10,5
160,2016-08-11,1734,615,64,26,61,10,5
161,2016-08-12,1735,615,64,26,61,10,5
162,2016-08-13,1736,615,64,26,61,10,5
163,2016-08-14,1738,615,64,26,61,10,5
164,2016-08-15,1744,616,64,26,61,10,5
